lemma,pos,lang,text
abandonné,X,ain,アエマカ
abandonné,X,de,verlassen
abandonné,X,de,verwildert
abandonné,X,de,ausgesetzt
abandonné,X,en,abandoned
abandonné,X,ca,abandonat
abandonné,X,hr,napušten
abandonné,X,es,abandonado
abandonné,X,eo,cedita
abandonné,X,eo,forlasita
abandonné,X,el,εγκαταλελειμμένος
abandonné,X,it,abbandonato
abandonné,X,avk,bulunaf
abandonné,X,lfn,abandonada
abandonné,X,oc,abandonat
abandonné,X,pt,abandonado
abandonné,X,ro,abandonat
abandonné,X,se,ovttaskas
abandonné,X,scn,abbanunatu
abandonné,X,wa,abandné
aboyant,X,hr,lajav
aboyant,X,sv,skällande
abreuver,X,angevin,aberver
abreuver,X,angevin,abeurver
abreuver,X,en,water
abreuver,X,ar,سَقَى
abreuver,X,ar,رَوَى
abreuver,X,ar,أَرْوَى
abreuver,X,eu,edaran
abreuver,X,eu,eradan
abreuver,X,ca,abeurar
abreuver,X,champenois,ébreuvet
abreuver,X,hr,napajati
abreuver,X,es,abrevar
abreuver,X,gallo,aberver
abreuver,X,gallo,abevrer
abreuver,X,gallo-italique de basilicate,abbëvërà
abreuver,X,grc,ἄρδω
abreuver,X,it,abbeverare
abreuver,X,normand,abeurvaïr
abreuver,X,oc,abeurar
abreuver,X,oc,abeurà
abreuver,X,oc,eissagar
abreuver,X,pcd,abuvrer
abreuver,X,pl,poić
abreuver,X,ru,поить
abreuver,X,se,jugahit
abreuver,X,sv,vattna
abreuver,X,tr,su içirmek
abreuver,X,wa,abuvrer
abreuver,X,ar,شَرِبَ
abreuver,X,ar,إِرْتَوَى
abreuver,X,ca,abeurar
abreuver,X,hr,napojiti se
abreuver,X,es,abrevar
abreuver,X,oc,abeurar
abreuver,X,oc,abeurà
abreuver,X,ru,пить
abreuver,X,sv,vattna
abreuver,X,tr,su içmek
abreuver,X,ca,abeurar
abreuver,X,hr,napajati se
abreuver,X,hr,napiti se
abreuver,X,es,abrevar
abreuver,X,oc,abeurar
abreuver,X,oc,abeurà
abreuver,X,tr,bol bol içmek
abreuver,X,ca,abeurar
abreuver,X,hr,napajati se
abreuver,X,es,abrevar
abreuver,X,oc,abeurar
abreuver,X,oc,abeurà
abreuver,X,de,wässern
abreuver,X,de,bewässern
abreuver,X,de,berieseln
abreuver,X,de,beregnen
abreuver,X,hr,napojiti
abreuver,X,nl,begieten
abreuver,X,sv,vattna
abreuver,X,en,heap
abreuver,X,en,shower with
abreuver,X,hr,napajati
abreuver,X,sv,överhopa
abreuver,X,hr,biti napit
abreuver,X,sv,vara full av
abreuver,X,hr,naliti da se upije ulja
abreuver,X,hr,naliti da se upije vode
abreuver,X,af,begiet
abreuver,X,de,überschütten
abreuver,X,de,benetzen
abreuver,X,en,drench
abreuver,X,en,flood
abreuver,X,en,overwhelm
abreuver,X,en,swamp
abreuver,X,en,dampen
abreuver,X,en,irrigate
abreuver,X,en,water
abreuver,X,ca,abeurar
abreuver,X,es,abrevar
abreuver,X,eo,trinkigi
abreuver,X,eo,superŝuti
abreuver,X,eo,malseketigi
abreuver,X,eo,irigacii
abreuver,X,eo,akvumi
abreuver,X,fo,lata drekka
abreuver,X,hbo,שׁקה
abreuver,X,hu,öntöz
abreuver,X,io,drinkigar
abreuver,X,ia,abiber
abreuver,X,is,vökva
abreuver,X,is,veita vatni á
abreuver,X,it,annaffiare
abreuver,X,it,bagnare
abreuver,X,it,innaffiare
abreuver,X,ms,membasahi
abreuver,X,nl,drenken
abreuver,X,nl,bedelven
abreuver,X,nl,overstelpen
abreuver,X,nl,verpletteren
abreuver,X,nl,bevochtigen
abreuver,X,nl,vochtig maken
abreuver,X,nl,bevloeien
abreuver,X,nl,irrigeren
abreuver,X,nl,gieten
abreuver,X,nl,sproeien
abreuver,X,nl,besproeien
abreuver,X,nl,wateren
abreuver,X,nl,water geven
abreuver,X,oc,abeurar
abreuver,X,pms,boré
abreuver,X,poitevin-saintongeais,aevàe
abreuver,X,poitevin-saintongeais,abrvàe
abreuver,X,pt,sobrecarregar
abreuver,X,pt,irrigar
abreuver,X,pt,molhar
absence,X,af,absensie
absence,X,af,afwesigheid
absence,X,sq,mungesë
absence,X,de,Absenz
absence,X,de,Abwesenheit
absence,X,de,Nichtvorhandensein
absence,X,de,Fortbleiben
absence,X,en,absence
absence,X,ar,غِياب
absence,X,ca,absència
absence,X,hr,odsutnost
absence,X,da,fraværelse
absence,X,es,ausencia
absence,X,eo,foresto
absence,X,fi,poissaolo
absence,X,fc,aibcheinche
absence,X,fy,ôfwêzigens
absence,X,el,απουσία
absence,X,grc,ἀπουσία
absence,X,io,absenteso
absence,X,id,absensi
absence,X,it,assenza
absence,X,nl,absentie
absence,X,nl,afwezigheid
absence,X,nl,uitstedigheid
absence,X,nl,mangel
absence,X,nl,verstek
absence,X,nl,verzuim
absence,X,oc,abséncia
absence,X,pap,ousensia
absence,X,fa,غیاب
absence,X,pl,nieobecność
absence,X,pt,ausência
absence,X,pt,falta
absence,X,ro,absență
absence,X,ro,lipsă
absence,X,se,jávkan
absence,X,se,váili
absence,X,se,váilun
absence,X,se,áiban
absence,X,sr,odsutnost
absence,X,sv,frånvaro
absence,X,sv,bortovaro
absence,X,sv,själsfrånvaro
absence,X,sv,absens
absence,X,tr,bulunmayış
absence,X,tr,yokluk
absence,X,tr,giyap
absence,X,uk,відсутність
absence,X,uk,неявка
absence,X,da,absence
accent,X,en,stress
accent,X,en,sound
accent,X,en,accent
accent,X,bm,fɔcogo
accent,X,br,taol-mouezh
accent,X,br,pouez-mouezh
accent,X,bg,акцент
accent,X,ca,accent
accent,X,hr,naglasak
accent,X,hr,akcent
accent,X,hr,akcenat
accent,X,da,accent
accent,X,es,acento
accent,X,eo,akcento
accent,X,ga,blas
accent,X,gallo,axent
accent,X,ka,მახვილი
accent,X,ka,აქცენტი
accent,X,io,acento
accent,X,id,aksen
accent,X,ia,accento
accent,X,it,accento
accent,X,ku,devok
accent,X,oc,accent
accent,X,fa,لهجه
accent,X,pl,akcent
accent,X,pt,acento
accent,X,pt,sotaque
accent,X,ru,акцент
accent,X,scn,accentu
accent,X,scn,azzentu
accent,X,ses,sugur
accent,X,sv,accent
accent,X,sv,brytning
accent,X,cs,akcent
accent,X,cs,přízvuk
accent,X,eo,akcento
accent,X,ja,強制
accent,X,avk,bloska
accent,X,pl,akcent
accent,X,cs,přízvuk
accent,X,eo,akĉento
accent,X,ja,揚音
accent,X,cs,akcent
accent,X,cs,přízvuk
accent,X,ar,حَرَكَة
accent,X,br,tired
accent,X,hr,naglasak
accent,X,es,tilde
accent,X,ka,მახვილი
accent,X,avk,tcalek
accent,X,pt,acento
accent,X,solrésol,soldofala
accent,X,solrésol,s'oldofala
accident,X,de,Zufall
accident,X,en,accident
accident,X,ar,حَادِثَة
accident,X,br,darvoud
accident,X,ca,accident
accident,X,ko,사고
accident,X,hr,nesreċa
accident,X,es,accidente
accident,X,vls,aksiedént
accident,X,gallo,aru
accident,X,gallo,atout
accident,X,griko,kòccia
accident,X,ja,事故
accident,X,io,evento
accident,X,it,accidente
accident,X,km,គ្រោះថ្នាក់
accident,X,nb,ulykke
accident,X,nn,ulukke
accident,X,oc,accident
accident,X,ryu,事
accident,X,ryu,くとぅ
accident,X,pcd,acchideint
accident,X,pl,wypadek
accident,X,pt,acidente
accident,X,pt,sinistro
accident,X,sc,atzidente
accident,X,scn,accidenti
accident,X,sv,tillfällighet
accident,X,wa,accidint
accident,X,wa,kénte
accident,X,wa,astrapåde
accident,X,de,Unfall
accident,X,en,accident
accident,X,en,misadventure
accident,X,az,bədbəxt hadisə
accident,X,bm,sirakankasara
accident,X,eu,istripu
accident,X,br,gwallzarvoud
accident,X,ca,accident
accident,X,es,accidente
accident,X,eo,akcidento
accident,X,fi,tapaturma
accident,X,ga,timpiste
accident,X,gallo,aru
accident,X,gallo,atout
accident,X,it,incidente
accident,X,avk,walta
accident,X,lb,Accident
accident,X,nb,ulykke
accident,X,nn,ulukke
accident,X,oc,accident
accident,X,pcd,acchideint
accident,X,pl,wypadek
accident,X,pt,acidente
accident,X,pt,sinistro
accident,X,se,lihkohisvuohta
accident,X,se,bárti
accident,X,sg,lasidäan
accident,X,sg,ndaû
accident,X,zdj,adjali
accident,X,solrésol,fasifasol
accident,X,sv,olyckshändelse
accident,X,wa,accidint
accident,X,wa,kénte
accident,X,de,Infakt
accident,X,en,accident
accident,X,ca,accident
accident,X,hr,nesretan slučaj
accident,X,es,accidente
accident,X,gallo,aru
